ID,Gender,Age,ARI,FleschReadingEase,FleschKincaidGradeLevel,GunningFogIndex,SMOGIndex,ColemanLiauIndex,LIX,RIX
4aea1c28f32e0f24d10af683c56d5571,FEMALE,35-49,23.7010211268,8.3656,20.7875,23.5775,18.9687194227,17.5957,79.161971831,15.5
47fb01784d4b95b49b3969f117581b32,FEMALE,18-24,9.64333044964,76.6206,7.5409,11.5435,10.4346973896,8.6111,39.36140905,3.86080586081
3bcfe66d0205a1ba9798f567ed9abd02,MALE,25-34,11.2402150212,86.9626,5.8499,10.9071,9.96143221338,11.303,42.3731072078,4.46153846154
44196f9071e35afd7e747b118e978d81,FEMALE,25-34,24.312070975,31.8126,19.7529,23.6258,17.1285308725,13.1052,70.1357929427,11.4692307692
56a8086bc186ef1bc7c5df85545e0116,MALE,35-49,14.7382119996,63.4481,11.1172,14.2415,11.3895539443,11.2788,49.6951828144,6.11538461538
64541aaba090c2ef787f41df4f60b427,FEMALE,25-34,12.7969230769,64.8262,11.1734,13.4378,9.92820323028,8.0703,44.6839160839,4.6
7f8f9c613d650159608b025916e3dc5d,FEMALE,50-64,9.0456928634,75.3478,6.9731,9.462,8.96866819316,9.4725,37.8087237303,3.5625
9dd443066d1d87106cf38c417792118a,FEMALE,25-34,7.70575757576,64.9768,8.1712,10.4404,10.0710678119,8.5001,34.8838383838,3.03333333333
f1ff6a7b7270f8b983e7898f4eaeb53b,FEMALE,35-49,13.0124836601,51.1727,12.084,14.3059,12.3094933625,10.6959,48.0849673203,5.77777777778
6d5aaaa46480f919e85f286523221796,FEMALE,35-49,11.9105544378,58.0698,10.8736,13.6122,11.7324399,10.1829,45.1239611028,5.08810572687
7d754aec6549d9c7edf312ae2052d3e5,FEMALE,35-49,5.54378006873,88.687,3.8704,8.3739,8.88784057755,7.5252,31.8336769759,2.44444444444
325a3910e81d6fdef13ebd10e62b6811,MALE,50-64,12.7217093069,42.3344,12.3231,15.1984,13.5990766358,12.4552,46.0641343602,5.25531914894
0a485d9bc555d607f43264a186fb2396,FEMALE,35-49,7.98542081759,81.7833,5.0818,8.5803,8.9263775799,10.1572,34.4522500859,2.85365853659
6f302b80bf2f244c30f509a763d9b1fa,MALE,35-49,38.615227277,-1.0117,31.5357,34.3691,19.9286428094,12.6623,97.5237582208,17.4473684211
fe826c2665b9aecd0e77a27eaa21e1d5,MALE,35-49,42.5080013535,-32.6813,35.953,39.2248,26.47145268,17.9321,112.974960523,29.0909090909
3673b860b3068ced30eae56ddf4aa88d,FEMALE,25-34,9.42930851064,66.28,8.2379,11.7645,11.100925873,10.0681,38.5469858156,3.6875
6668a185a1dba76ba3b03f6f3d59f47b,FEMALE,25-34,7.2677007573,79.0045,5.9662,9.9409,9.69149605118,8.6348,35.5433424013,3.08955223881
e6daefefdc379cd36fc04d7a57819232,FEMALE,50-64,12.9589796905,62.21,10.793,14.6099,12.4146887169,10.0047,45.3172147002,5.04545454545
a8ac8af521dd5428a2684753ff282c70,MALE,25-34,19.0377290496,34.0109,15.4715,17.4962,14.5586199399,16.0555,56.7482662466,8.05084745763
daadc248fd9c1f691ba9fa366f8e0e68,FEMALE,25-34,6.57502232143,72.6648,6.1052,8.6393,9.07100838882,8.874,31.7732142857,2.42857142857
